"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Condizioni obbligatorieta'"
"Sposa","Stato di nascita - Descrizione","SI","evento.intestatari[1]","nomeStatoNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di nascita","NO","evento.intestatari[1]","idProvinciaNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di nascita - Descrizione","NO","evento.intestatari[1]","siglaProvinciaNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di nascita","NO","evento.intestatari[1]","idComuneNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di nascita - Descrizione","NO","evento.intestatari[1]","nomeComuneNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Località estera","NO","evento.intestatari[1]","localitaEsteraNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Nazionalità","SI","evento.intestatari[1]","idNazionalita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Nazionalità - Descrizione","SI","evento.intestatari[1]","nazionalita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comprensione","NO","evento.intestatari[1]","tipoImpedimento","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Residenza non nota","NO","evento.intestatari[1]","flagIrreperibile","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Stato di residenza","NO","evento.intestatari[1]","idStatoResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Stato di residenza - Descrizione","NO","evento.intestatari[1]","nomeStatoResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di residenza","NO","evento.intestatari[1]","idProvinciaResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di residenza - Descrizione","NO","evento.intestatari[1]","siglaProvinciaResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di residenza","NO","evento.intestatari[1]","idComuneResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di residenza - Descrizione","NO","evento.intestatari[1]","nomeComuneResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Indirizzo di residenza","NO","evento.intestatari[1]","indirizzoResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","flag dichiarante","SI","evento.intestatari[1]","flagDichiarante","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","flag comparente","SI","evento.intestatari[1]","flagComparente","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Firmatario","NO","evento.intestatari[1]","flagFirmatario","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia AIRE","NO","evento.intestatari[1]","idProvinciaAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia AIRE - Descrizione","NO","evento.intestatari[1]","siglaProvinciaAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune AIRE","NO","evento.intestatari[1]","idComuneAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune AIRE - Descrizione","NO","evento.intestatari[1]","nomeComuneAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Dettagli evento","Scelta del regime patrimoniale","SI","evento.datiEventoMatrimonio.regimePatrimoniale","idTipoConvenzioneMatr","","obbligatoria"
"Dettagli evento","Con atto notarile","NO","evento.datiEventoMatrimonio.regimePatrimoniale","attoNotarile","","obbligatoria"
"Dettagli evento","Omologazione oppure mutamento tramite legge 142","NO","evento.datiEventoMatrimonio.regimePatrimoniale","omologazione","","obbligatoria"
"Dettagli evento","Scelta tra omologazione e autorizzazione giudiziaria","NO","evento.datiEventoMatrimonio.regimePatrimoniale","idTipoMutamentoConvenzioneMatr","","obbligatoria"
